[2026-02-19 01:58:49] | AUDIT | admin_panel | 1 | root | - | login_success | Login admin completato |  | {}
[2026-02-19 01:58:49] | AUDIT | admin_panel | 1 | root | - | admin_request | POST /login -> 302 |  | {"endpoint":"login","query":"","status":302,"remote_addr":"127.0.0.1"}
[2026-02-19 01:58:49] | AUDIT | admin_panel | 1 | root | - | admin_request | GET /utenti -> 200 |  | {"endpoint":"users_page","query":"","status":200,"remote_addr":"127.0.0.1"}
[2026-02-19 01:58:49] | AUDIT | admin_panel | 1 | root | - | admin_request | GET /utenti/sospesi -> 200 |  | {"endpoint":"banned_users_page","query":"","status":200,"remote_addr":"127.0.0.1"}
[2026-02-19 01:59:01] | AUDIT | admin_panel | 1 | root | - | login_success | Login admin completato |  | {}
[2026-02-19 01:59:01] | AUDIT | admin_panel | 1 | root | - | admin_request | POST /login -> 302 |  | {"endpoint":"login","query":"","status":302,"remote_addr":"127.0.0.1"}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 1 | root | - | login_success | Login admin completato |  | {}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 1 | root | - | admin_request | POST /login -> 302 |  | {"endpoint":"login","query":"","status":302,"remote_addr":"127.0.0.1"}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 1 | root | - | admin_request | GET /impostazioni -> 200 |  | {"endpoint":"settings_page","query":"","status":200,"remote_addr":"127.0.0.1"}
[2026-02-19 01:59:12] | AUDIT | admin_panel | - | root | - | logout | Logout admin |  | {}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 2 | operator | - | login_success | Login admin completato |  | {}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 2 | operator | - | admin_request | POST /login -> 302 |  | {"endpoint":"login","query":"","status":302,"remote_addr":"127.0.0.1"}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 2 | operator | - | admin_request | GET /dashboard -> 302 |  | {"endpoint":"dashboard","query":"","status":302,"remote_addr":"127.0.0.1"}
[2026-02-19 01:59:12] | AUDIT | admin_panel | 2 | operator | - | admin_request | GET /utenti -> 200 |  | {"endpoint":"users_page","query":"","status":200,"remote_addr":"127.0.0.1"}
[2026-02-19 02:00:04] | AUDIT | admin_panel | 1 | root | - | login_success | Login admin completato |  | {}
[2026-02-19 02:00:04] | AUDIT | admin_panel | 1 | root | - | admin_request | POST /login -> 302 |  | {"endpoint":"login","query":"","status":302,"remote_addr":"127.0.0.1"}
